ID,text,answer,difficulty_ID,topic_ID,group_ID,progress_ID
d7404d77-a647-16ad-44d1-48c993197c5a,Know how to configure Approuter in details:/n  0) welcomeFile  1) authMethod  2) logout  3) destinations  4) services  5) websockets  6) errorPage  7) CORS,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,d5bf7d30-ddee-0445-6d21-561291cbad70,0d12baa0-a0c1-23a9-7182-7063e63a6d12
76be779e-f8ac-3631-b053-c42e02a86fc4,Understand how session handling works/n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,d5bf7d30-ddee-0445-6d21-561291cbad70,0d12baa0-a0c1-23a9-7182-7063e63a6d12
064c3d4d-0b62-7c8f-5204-1ae54e5e3208,Know how to make a sessions backup/n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,d5bf7d30-ddee-0445-6d21-561291cbad70,0d12baa0-a0c1-23a9-7182-7063e63a6d12
343fdf61-8f1f-9beb-f7d2-f2e3cdee77d6,Know how to integrate Aprouter with a Business Service/n,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,d5bf7d30-ddee-0445-6d21-561291cbad70,0d12baa0-a0c1-23a9-7182-7063e63a6d12
da433eec-973e-54a5-0b68-abfd020c6556,Know how to expose Approuter for SaaS subscription (multitenancy)/n,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,d5bf7d30-ddee-0445-6d21-561291cbad70,0d12baa0-a0c1-23a9-7182-7063e63a6d12
84c0d985-b35d-0db7-5af7-68c254fee43b,Understand difference between authorisation and authentication/n,,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
10d1513f-86c4-e65a-546f-867bcf1cb372,Know what UAA is and its use cases.Scopesrole-templates/n,,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
41b66ecc-c887-dbd1-25cc-d7b3276a4c76,"Know what IDP is.Identity provider (IDP), the server that receives the authentication request, authenticates the user and sends the assertion to the SP./n",,83889ebe-dd29-46bf-e52c-c29bb43f1f2d,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
d674fe4c-94bd-0f5a-eb0c-eebefa55dd17,Know how to setup application security file:/n  0) scopes  1) role-templates,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
0789612d-cfaf-c996-47f2-54029b65c8bd,Know what is a role and how to create it./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
18eb8343-5084-6798-df56-05d4817007c3,Know what a Role Collection is and how to create it./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
4370f55a-7c35-4d89-f9c3-6f171810e35e,Understand how to use defined scopes/attributes in a code./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
94bd1b35-9e74-2efb-068f-0ae7fbd3fab9,Know what JWT is and its structure./n,,b4ac8d1e-3891-6e87-2da2-6698fcc4277e,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
034d06d6-d39d-0f01-269d-daf4acf2e013,Understand a difference between UAA and XSUAA/n,,69aebb3c-1d3f-b6be-f4b8-06cb0932b145,ce8100f0-f076-5296-8d91-f006842bc27d,fe0adaf0-8fa4-e825-941c-01dd5a505356,0d12baa0-a0c1-23a9-7182-7063e63a6d12
